company,title,location,url,description,source
Google,"Software Engineer, New Grad","Mountain View, CA","https://careers.google.com/jobs/123","We're looking for new graduates to join our engineering team. You'll work on large-scale distributed systems. We provide H1B visa sponsorship for qualified candidates.",demo
Stripe,"Backend Engineer - Entry Level","Remote, USA","https://stripe.com/jobs/456","Entry-level position for recent CS graduates. Experience with Python and distributed systems preferred. Stripe sponsors work authorization for exceptional candidates.",demo
Meta,"ML Engineer - New Grad","Menlo Park, CA","https://metacareers.com/789","Join our AI research team. Fresh graduates with ML experience welcome. We support OPT students and provide visa sponsorship.",demo
Amazon,"Software Development Engineer I","Seattle, WA","https://amazon.jobs/1011","Entry-level SDE role working on AWS infrastructure. Bachelor's degree required. 0-2 years experience. We sponsor H1B visas.",demo
Microsoft,"Software Engineer - University Grad","Redmond, WA","https://careers.microsoft.com/1213","New graduate program for software engineers. Work on Azure cloud services. International students on OPT welcome.",demo
Acme Defense,"Senior Software Engineer","Washington, DC","https://acmedefense.com/jobs/999","Must have active Secret security clearance. US citizenship required. 5+ years experience needed.",demo
TechCorp,"Software Engineer Intern","San Francisco, CA","https://techcorp.com/internship","Summer internship for undergraduate students. Part-time during academic year, full-time during summer.",demo
DataSystems,"Principal Engineer","Boston, MA","https://datasystems.com/senior","10+ years experience required. Lead a team of 15 engineers. Staff-level compensation.",demo
StartupXYZ,"Full Stack Developer - Junior","Austin, TX","https://startupxyz.com/234","Junior full stack role for developers with 0-1 years experience. Unfortunately, we cannot provide visa sponsorship at this time.",demo
CloudTech,"DevOps Engineer - Entry Level","Denver, CO","https://cloudtech.com/567","Entry-level DevOps position. New graduates welcome. Knowledge of Docker and Kubernetes preferred. OPT students eligible.",demo
AI Labs,"Research Engineer - New Grad","New York, NY","https://ailabs.com/890","Research engineer role for recent MS/PhD graduates in ML/AI. Publish research and build production systems. Visa sponsorship available.",demo
FinanceHub,"Software Developer - Associate","Chicago, IL","https://financehub.com/345","Associate software developer position. Entry-level role working on trading systems. Must be authorized to work in US without sponsorship.",demo
GameStudio,"Junior Game Developer","Los Angeles, CA","https://gamestudio.com/678","Contract position for 6 months. Part-time work during development cycle.",demo
HealthTech,"Backend Engineer - New Grad","San Diego, CA","https://healthtech.com/901","Backend engineer role for new graduates. Work on healthcare data systems. F-1 students on OPT encouraged to apply.",demo
RoboticsCo,"Software Engineer L3","San Jose, CA","https://roboticsco.com/234","L3 software engineer for robotics team. 0-2 years experience. New grads welcome. We provide H1B sponsorship and support OPT.",demo
